Transaction_ID,Sender_account,Receiver_account,Amount,Sender_bank_location,Receiver_bank_location,Device_MAC,Timestamp,Is_fraud
5e014c07-d0c,5857113d,60c62308,344.4989948,USA,UK,f6:35:fa:b1:52:ad,3/19/2025 21:53,0
9d171f24-e68,10300f31,4162303b,2819.367107,UK,Australia,e5:bb:e1:09:79:69,2/10/2025 23:32,0
b968499f-9f2,96516060,54232150,2289.212866,Germany,Nigeria,2d:75:3a:7c:a2:76,1/29/2025 6:56,0
c04e1750-1c0,6d602091,5e91a737,2756.794844,Australia,Russia,c8:2c:0e:e8:77:7a,3/3/2025 0:59,0
fb7c1921-4fb,95642398,b333a652,1524.413279,Australia,UK,0b:45:3e:33:66:6a,2/23/2025 15:12,0
7a608936-607,f2f10e0d,245180eb,722.3532791,UK,USA,51:18:a0:6e:ef:f8,3/20/2025 0:17,0
50d8d3cb-284,a0188377,2072eb10,4220.977575,USA,Pakistan,8e:86:61:90:2f:9d,3/2/2025 21:29,0
5201efef-fd9,4.20E+47,ba1edb68,1205.351081,Russia,Canada,64:a6:d7:57:eb:71,1/9/2025 22:12,0
64d34a11-e64,ce507770,c3e9828a,2201.27621,UK,USA,70:2d:01:9a:dd:50,2/20/2025 23:54,0
d45c7b4a-1c9,962a2823,9cf26888,2429.58132,UK,UK,80:24:79:96:2a:a5,1/27/2025 1:35,0
630356ac-2e0,8d85cab4,75a46742,1289.359218,Germany,UK,86:75:7e:45:c7:ae,3/17/2025 14:10,0
409fcc62-bea,f42ba109,3bd61f83,1621.187863,UK,UAE,36:b0:1e:95:c6:8c,1/2/2025 10:02,0
71e07342-a26,a4ea18c6,fda2c46a,1859.909192,Pakistan,Nigeria,ef:8b:10:04:2d:ca,2/23/2025 0:14,0
9e8a7758-9a3,9006833c,1e95b0c2,3142.674327,USA,Canada,d0:2b:5a:c0:5d:47,2/1/2025 7:02,0
65fe0559-38d,f62dc377,8c441f3e,4637.820794,Canada,UK,b6:bb:5b:0e:fa:9c,3/5/2025 5:17,0
544d5eb3-7ab,fb92f7b9,eb3ae1a6,1893.409085,USA,Australia,e4:1b:8b:d6:c4:eb,1/17/2025 4:48,0
d0fbf55e-d02,8aef0041,baa2c192,4465.479517,UK,Australia,d1:11:1c:5e:f9:3f,3/13/2025 0:44,0
1f0248ec-f38,2bc7c61c,66f2cd2d,966.1530855,Germany,UK,49:f5:34:7a:f2:66,1/26/2025 9:28,0
8defe523-e3f,dfd0f759,8e047707,4467.285494,Canada,Canada,d7:f1:e9:bd:13:16,2/3/2025 21:51,0
4a1f9fd9-c08,26542f1b,fda8c62a,3635.09665,Germany,Nigeria,d0:26:27:33:b2:f4,1/8/2025 9:36,0
848b2b52-803,159df16c,398c0f62,4468.380383,Nigeria,USA,bf:07:a6:7e:bf:f3,3/3/2025 4:32,0
